permanent_id,title,brand,category,subcategory,price,volume,price_index,alcohol_content,country,url,thumbnail_url,image_url,rating,reviews,out_of_stock,description,is_buyable,stock_min,stock_max,stock_avg,stock_turnover_rate,total_annual_sales
27072,Hess Select Treo Winemaker's Blend 2019,,Wine,Red Wine,30.95,750,0.28459770114943,14.5,United States,https://www.lcbo.com/en/hess-select-treo-winemaker-s-blend-27072,https://aem.lcbo.com/content/dam/lcbo/products/0/2/7/0/027072.jpg.thumb.319.319.png,https://aem.lcbo.com/content/dam/lcbo/products/0/2/7/0/027072.jpg.thumb.1280.1280.png,,0,True,"The Treo's blend varies vintage to vintage depending on the qualities of the season. The 2019 is Petite Sirah with Syrah, Zinfandel, Merlot and a small dash of Malbec. It's rich and full, with a mix of red and black fruit, savoury herbs and spice. This will be great tonight with steak, roast lamb or roast beef and will continue to evolve for another 3-5 years.",1,0,359,246.41666666666666,2.2319918836658776,550
27157,Paleokerisio Orange Semi-Sparkling Wine,,Wine,Sparkling Wine,14.95,500,0.2847619047619,10.5,Greece,https://www.lcbo.com/en/paleokerisio-orange-semi-sparkling-wine-27157,https://aem.lcbo.com/content/dam/lcbo/products/0/2/7/1/027157.jpg.thumb.319.319.png,https://aem.lcbo.com/content/dam/lcbo/products/0/2/7/1/027157.jpg.thumb.1280.1280.png,,0,False,"A very unique orange wine that is semi-sparkling and semi-dry. Orange in colour with copper hues. Complex aromas of apple, butter and baking spices such as cinnamon and cloves. The palate maintains the aromas with sweet cherry and vanilla coming through with refreshing bubbles that highlight the uniqueness of this wine.",1,328,721,516.0833333333334,3.0227676408848696,1560
27216,Stag's Leap Wine Cellars Karia Chardonnay 2019,,Wine,White Wine,51.0,750,0.46896551724138,14.5,United States,https://www.lcbo.com/en/stag-s-leap-wine-cellars-karia-chardonnay-27216,https://aem.lcbo.com/content/dam/lcbo/products/0/2/7/2/027216.jpg.thumb.319.319.png,https://aem.lcbo.com/content/dam/lcbo/products/0/2/7/2/027216.jpg.thumb.1280.1280.png,,0,False,"Apple tart with some stone and toffee aromas, as well as some flint, following through to a medium-to full-bodied, tight and compact palate with some creaminess. Tight finish. Drink or hold. Score - 92. (jamessuckling.com, July 5, 2021)",1,97,249,175.0,2.6742857142857144,468
27224,Wine Art Estate Techni Alipias White Blend 2023,,Wine,White Wine,25.95,750,0.24714285714286,14.0,Greece,https://www.lcbo.com/en/wine-art-estate-techni-alipias-white-blend-27224,https://aem.lcbo.com/content/dam/lcbo/products/0/2/7/2/027224.jpg.thumb.319.319.png,https://aem.lcbo.com/content/dam/lcbo/products/0/2/7/2/027224.jpg.thumb.1280.1280.png,,0,False,"The combination of Sauvignon Blanc and Assyrtiko produces a fruity and splendidly aromatic wine, of a clear pale yellow colour with greenish reflections. The nose is intense and fresh, a blend of citrus and mango. The clean crispness in the mouth is enhanced by a buttery touch.",1,166,629,369.6666666666667,3.137962128043282,1160
27225,Wine Art Estate Plano Malgousia 2021,,Wine,White Wine,21.5,750,0.22933333333333,12.5,Greece,https://www.lcbo.com/en/plano-malgousia-27225,https://aem.lcbo.com/content/dam/lcbo/products/0/2/7/2/027225.jpg.thumb.319.319.png,https://aem.lcbo.com/content/dam/lcbo/products/0/2/7/2/027225.jpg.thumb.1280.1280.png,0.0,0,True,"100% Malagouzia characterized by high acidity, minerality & aromas of citrus fruits, white flowers & bergamot orange. A full bodied wine with refreshing acidity & long finish. Worth a taste!!",1,0,633,390.5833333333333,3.115852357584809,1217
27399,Seven Hills Winery Seven Hills Vineyard Merlot 2016,,Wine,Red Wine,62.0,750,0.57011494252874,14.5,United States,https://www.lcbo.com/en/seven-hills-winery-seven-hills-vineyard-merlot-27399,https://aem.lcbo.com/content/dam/lcbo/products/0/2/7/3/027399.jpg.thumb.319.319.png,https://aem.lcbo.com/content/dam/lcbo/products/0/2/7/3/027399.jpg.thumb.1280.1280.png,,0,False,"Also deep purple-colored, the 2016 Merlot Seven Hills Vineyard (100% Merlot brought up in 45-50% new French oak) offers another level of intensity in its cassis, black cherry, toasty oak, tobacco leaf, and underbrush aromas and flavors. Deep, rich, beautifully textured, and downright sexy, it's a beautiful, sweetly fruit Merlot that does everything right. Score - 94. (jebdunnuck.com, April 11, 2019)",1,35,198,145.16666666666666,2.9827784156142365,433
27472,Aslanis Family Winery Malagousia Macedonia Organic 2021,,Wine,White Wine,18.05,750,0.17827160493827,13.5,Greece,https://www.lcbo.com/en/aslanis-family-winery-malagousia-pgi-macedonia-27472,https://aem.lcbo.com/content/dam/lcbo/products/0/2/7/4/027472.jpg.thumb.319.319.png,https://aem.lcbo.com/content/dam/lcbo/products/0/2/7/4/027472.jpg.thumb.1280.1280.png,,0,False,"An organic, family owned and managed winery just south of Thessaloniki, on the northwestern coast of the Aegean. 100% Malagousia. Fruity palate with pleasant acidity and aromas of white fruit and citrus. Refreshing after-taste. Vegan Friendly.",1,182,815,521.0,2.3243761996161227,1211
27475,Aslanis Family Winery Assyrtiko Macedonia Organic 2021,,Wine,White Wine,22.95,750,0.21857142857143,14.0,Greece,https://www.lcbo.com/en/aslanis-family-winery-assyrtiko-pgi-macedonia-27475,https://aem.lcbo.com/content/dam/lcbo/products/0/2/7/4/027475.jpg.thumb.319.319.png,https://aem.lcbo.com/content/dam/lcbo/products/0/2/7/4/027475.jpg.thumb.1280.1280.png,,0,True,"An organic, family owned and managed winery just south of Thessaloniki, on the northwestern coast of the Aegean. Complex nose with aromas of dried citrus, bergamot peel and sweet aromas of honey and vanilla. Typically crisp on the palate with zesty acidity and mineral character.  Vegan Friendly.",1,0,670,354.4166666666667,2.962614624970609,1050
27673,Stag's Leap Wine Cellars Karia Chardonnay 2020,,Wine,White Wine,51.0,750,0.46896551724138,14.5,United States,https://www.lcbo.com/en/stag-s-leap-wine-cellars-karia-chardonnay-27673,https://aem.lcbo.com/content/dam/lcbo/products/0/2/7/6/027673.jpg.thumb.319.319.png,https://aem.lcbo.com/content/dam/lcbo/products/0/2/7/6/027673.jpg.thumb.1280.1280.png,,0,False,,1,120,224,176.91666666666666,2.7074894017899203,479
28124,Elementi Organic Trebbiano Orange Wine 2021,,Wine,White Wine,16.25,750,0.16666666666667,13.0,Italy,https://www.lcbo.com/en/elementi-organic-trebbiano-orange-wine-28124,https://aem.lcbo.com/content/dam/lcbo/products/0/2/8/1/028124.jpg.thumb.319.319.png,https://aem.lcbo.com/content/dam/lcbo/products/0/2/8/1/028124.jpg.thumb.1280.1280.png,5.0,1,True,"Though 'new' and in vogue, orange wine is in fact created via an ancient technique. The juice of white wine is given prolonged contact with the skins - a process typical of red, not white wine production - imparting deeper colour, flavours, body, and even tannins. This 100% Trebbiano will be awesome with a Mediterranean seafood stew or Moroccan lamb tagine.",1,0,974,516.5833333333334,2.9211163090821097,1509
